id;title;title_en;title_jp;title_alias;type;source;num_episodes;status;duration;rating;score;scored_by;score_rank;popularity_rank;members;favorites;season;year;producers;licensors;studios;genres;explicit_genres;themes;target_audience;image_link;airing_date;end_date;full_airing_date;broadcast_day
40356;Tate no Yuusha no Nariagari Season 2;The Rising of the Shield Hero Season 2;盾の勇者の成り上がり Season2;Tate no Yuusha no Nariagari 2nd Season;TV;Light novel;13;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;6.56;178065;6148;283;625147;12359;spring;2022;Frontier Works, AT-X, Nippon Columbia, Glovision, Good Smile Company, Sammy, Crunchyroll, Kadokawa Media House, NTT Plala, Kadokawa;;Kinema Citrus, DR Movie;Action, Adventure, Drama, Fantasy;;Isekai;;https://cdn.myanimelist.net/images/anime/1143/121873.jpg;2022-04-06;2022-06-29;Apr 6, 2022 to Jun 29, 2022;Wednesdays
40357;Tate no Yuusha no Nariagari Season 3;The Rising of the Shield Hero Season 3;盾の勇者の成り上がり;Tate no Yuusha no Nariagari 3rd Season, The Rising of the Shield Hero 3rd Season;TV;Light novel;;Not yet aired;Unknown;PG-13 - Teens 13 or older;;;;816;253948;3196;;;Kadokawa;;Kinema Citrus;Action, Adventure, Drama, Fantasy;;Isekai;;https://cdn.myanimelist.net/images/anime/1804/126632.jpg;;;Not available;
40358;Gal to Kyouryuu;Gal & Dino;ギャルと恐竜;Gal and Dinosaur, My Roomie Is a Dino, Gyaru to Kyouryuu;TV;Manga;12;Finished Airing;11 min per ep;PG-13 - Teens 13 or older;6.45;8937;6761;3656;29397;70;spring;2020;;Funimation;Kamikaze Douga, Space Neko Company;Comedy, Slice of Life;;;Seinen;https://cdn.myanimelist.net/images/anime/1603/111352.jpg;2020-04-05;2020-12-20;Apr 5, 2020 to Dec 20, 2020;Sundays
40359;Ikebukuro West Gate Park;Ikebukuro West Gate Park;池袋ウエストゲートパーク;IWGP;TV;Novel;12;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;6.87;33986;4566;1734;107655;334;fall;2020;;Funimation;Doga Kobo;Drama, Mystery;;Delinquents;;https://cdn.myanimelist.net/images/anime/1277/108376.jpg;2020-10-06;2020-12-22;Oct 6, 2020 to Dec 22, 2020;Tuesdays
40369;Mini Yuri;;みにゆり;;ONA;Manga;4;Finished Airing;5 min per ep;PG-13 - Teens 13 or older;6.73;4043;5218;5864;9664;9;;;;;W-Toon Studio, DMM.futureworks;Comedy, Girls Love;;CGDCT, Gag Humor, School;;https://cdn.myanimelist.net/images/anime/1606/116670.jpg;2019-09-25;2019-10-16;Sep 25, 2019 to Oct 16, 2019;
40372;Haikyuu!! (OVA);;ハイキュー!!;Haikyuu!! Puppet Animation, Haikyuu!! Stop-motion Animation, Haikyuu!!: Ningyou Anime;OVA;Manga;10;Finished Airing;2 min per ep;PG-13 - Teens 13 or older;7.83;9012;850;3778;27582;55;;;Shueisha;;;Sports;;Team Sports;Shounen;https://cdn.myanimelist.net/images/anime/1618/102929.jpg;2020-03-04;;Mar 4, 2020;
40379;Btooom!: Bakusatsu Digest;;BTOOOM! 爆殺ダイジェスト;Btooom! Recaps, Btooom! Specials;ONA;Manga;2;Finished Airing;2 min per ep;R - 17+ (violence & profanity);5.81;2571;10055;5264;12662;13;;;;;Madhouse;Action;;High Stakes Game, Survival;;https://cdn.myanimelist.net/images/anime/1804/102931.jpg;2012-11-16;2012-12-19;Nov 16, 2012 to Dec 19, 2012;
40389;Uchuu Senkan Yamato 2205: Aratanaru Tabidachi;;宇宙戦艦ヤマト2205 新たなる旅立ち;Space Battleship Yamato 2205: A New Journey - Prior Chapter: Take Off, Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Zenshou - Take Off, Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Koushou - Stasha;OVA;Original;8;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.4;700;2064;7494;5254;19;;;Production I.G, Shochiku, Voyager Entertainment, Bandai Namco Arts, Bandai Spirits, ADK Marketing Solutions;;Satelight;Action, Drama, Sci-Fi;;Adult Cast, Military, Space;;https://cdn.myanimelist.net/images/anime/1888/117889.jpg;2021-10-08;2022-02-04;Oct 8, 2021 to Feb 4, 2022;
40392;Runway de Waratte;Smile Down the Runway;ランウェイで笑って;Smile at the Runway;TV;Manga;12;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.58;48708;1410;1619;117111;402;winter;2020;Mainichi Broadcasting System, Kodansha, DMM pictures;Funimation;Ezόla;Drama;;School, Showbiz, Visual Arts;Shounen;https://cdn.myanimelist.net/images/anime/1544/104540.jpg;2020-01-11;2020-03-28;Jan 11, 2020 to Mar 28, 2020;Saturdays
40394;Zenonzard The Animation Episode 0;;ゼノンザード THE ANIMATION;;ONA;Game;1;Finished Airing;27 min;PG-13 - Teens 13 or older;6.58;2372;6047;6781;6786;8;;;;;8bit;Action;;;;https://cdn.myanimelist.net/images/anime/1478/103070.jpg;2019-09-10;;Sep 10, 2019;
40397;Maou-jou de Oyasumi;Sleepy Princess in the Demon Castle;魔王城でおやすみ;Sleeping in Devil's Castle;TV;Manga;12;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.99;84409;592;1122;182724;1974;fall;2020;Lantis;Funimation;Doga Kobo;Comedy, Fantasy;;Mythology, Parody;Shounen;https://cdn.myanimelist.net/images/anime/1448/108514.jpg;2020-10-06;2020-12-22;Oct 6, 2020 to Dec 22, 2020;Tuesdays
40403;Shin Sakura Taisen the Animation;Sakura Wars the Animation;新サクラ大戦 the Animation;New Sakura Wars the Animation;TV;Game;12;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;5.78;4497;10211;4633;17515;24;spring;2020;Sega, Sammy, Tencent Japan;Funimation;SANZIGEN;Action, Adventure, Sci-Fi;;Mecha, Performing Arts;;https://cdn.myanimelist.net/images/anime/1341/105735.jpg;2020-04-03;2020-06-19;Apr 3, 2020 to Jun 19, 2020;Fridays
40405;Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!;;コップクラフト 特別編: 美しき女騎士! とらわれの妖精を追え!;Cop Craft Episode 9.5, Cop Craft Recap, Tokubetsu-hen: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!;Special;Light novel;1;Finished Airing;23 min;R - 17+ (violence & profanity);5.82;2330;10038;7442;5329;3;;;;;Millepensee;Action, Fantasy, Sci-Fi;;Detective;;https://cdn.myanimelist.net/images/anime/1815/103061.jpg;2019-09-10;;Sep 10, 2019;
40416;Date A Bullet: Dead or Bullet;;デート・ア・バレット デッド・オア・バレット;Date A Live Fragment: Date A Bullet;Movie;Light novel;1;Finished Airing;24 min;PG-13 - Teens 13 or older;7.56;38014;1490;1912;93365;518;;;Nippon Columbia;;GEEK TOYS;Action, Sci-Fi;;Isekai;;https://cdn.myanimelist.net/images/anime/1984/108425.jpg;2020-08-14;;Aug 14, 2020;
40417;Fruits Basket 2nd Season;;フルーツバスケット 2nd season;Fruits Basket (2019) 2nd Season, Furuba, Fruits Basket (Kouhen);TV;Manga;25;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;8.56;217175;95;442;432169;5359;spring;2020;TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN;Funimation;TMS Entertainment;Drama, Romance, Supernatural;;School;Shoujo;https://cdn.myanimelist.net/images/anime/1972/111635.jpg;2020-04-07;2020-09-22;Apr 7, 2020 to Sep 22, 2020;Tuesdays
40421;Given Movie;;映画 ギヴン;Eiga Given;Movie;Manga;1;Finished Airing;59 min;PG-13 - Teens 13 or older;8.15;107690;390;1029;202778;1465;;;Blue Lynx;;Lerche;Boys Love, Drama;;Music;;https://cdn.myanimelist.net/images/anime/1648/111422.jpg;2020-08-22;;Aug 22, 2020;
